id,lat,lon,geometry,area,aforo,is_selected,is_not_selected
3282  ,-12.108753655832166,-77.01146745630409,POINT (-77.01146745630409 -12.108753655832166),620.0,1240.0,1.0,1.0
3323-A,-12.114219304627444,-77.02333281471074,POINT (-77.02333281471074 -12.114219304627444),320.0,640.0,1.0,1.0
3321-A,-12.12095157996175,-77.00260125365227,POINT (-77.00260125365227 -12.12095157996175),200.0,400.0,1.0,1.0
3318-A,-12.107970451909061,-77.01892805291074,POINT (-77.01892805291074 -12.107970451909061),93.0,186.0,1.0,1.0
3313-B,-12.113171163459898,-77.02525208858762,POINT (-77.02525208858762 -12.113171163459898),230.0,460.0,1.0,1.0
3320-A,-12.117475835271698,-76.997034068227,POINT (-76.997034068227 -12.117475835271698),6000.0,12000.0,1.0,1.0
3314  ,-12.105915352065429,-77.02307551019747,POINT (-77.02307551019747 -12.105915352065429),400.0,800.0,1.0,1.0
